Modèle,F1-score,Précision,Rappel,AUC,Gap CV/Val,Méthode d'imputation
GradBoost,0.9231,0.9836065573770492,0.8695652173913043,0.9745605920444034,-0.0062,MICE - Complet
GradBoost,0.9173,0.953125,0.8840579710144928,0.9636481995408915,-0.0136,KNN - Complet
GradBoost,0.9173,0.953125,0.8840579710144928,0.9690101757631823,0.0118,KNN - Réduit
XGBoost,0.9173,0.953125,0.8840579710144928,0.9703463870901429,0.0075,KNN - Réduit
XGBoost,0.9118,0.9253731343283582,0.8985507246376812,0.9666289786548806,0.0148,KNN - Complet
XGBoost,0.9104,0.9384615384615385,0.8840579710144928,0.9686332956453216,0.0106,MICE - Complet
MLP,0.9104,0.9384615384615385,0.8840579710144928,0.9670058587727414,-0.0159,MICE - Réduit
MLP,0.9023,0.9375,0.8695652173913043,0.9650358036111967,0.0035,KNN - Réduit
RandForest,0.9008,0.9516129032258065,0.855072463768116,0.9729331551718231,-0.0022,MICE - Complet
SVM,0.8992,0.9666666666666667,0.8405797101449275,0.9498235515811835,-0.0019,KNN - Réduit
GradBoost,0.8992,0.9666666666666667,0.8405797101449275,0.9720080857916196,-0.0006,MICE - Réduit
RandForest,0.8971,0.9104477611940298,0.8840579710144928,0.9704663034912803,-0.0104,KNN - Complet
SVM,0.8923,0.9508196721311475,0.8405797101449275,0.9445300990166854,0.002,MICE - Réduit
MLP,0.8905,0.8970588235294118,0.8840579710144928,0.9681707609552199,-0.0246,MICE - Complet
XGBoost,0.8824,0.8955223880597015,0.8695652173913043,0.9676568335217735,0.0065,MICE - Réduit
MLP,0.8759,0.8823529411764706,0.8695652173913043,0.9715284201870695,-0.0083,KNN - Complet
RandForest,0.875,0.9491525423728814,0.8115942028985508,0.9617809298660362,-0.0044,KNN - Réduit
RandForest,0.8615,0.9180327868852459,0.8115942028985508,0.9623462500428273,-0.0317,MICE - Réduit
SVM,0.8551,0.855072463768116,0.855072463768116,0.9652585054990235,-0.0439,KNN - Complet
SVM,0.7869,0.9056603773584906,0.6956521739130435,0.9584746633775311,0.0301,MICE - Complet
